word1,word2,count
le,chef,4
sans,s,4
instant,dans,4
paris,et,4
n,avions,4
à,le,4
mère,qui,4
en,quelques,4
est,toujours,4
il,devait,4
demander,de,4
l,intérieur,4
me,faire,4
étions,là,4
sa,fiancée,4
que,par,4
où,vous,4
avait,toujours,4
autre,chose,4
dès,ce,4
en,alla,4
bord,du,4
ecole,normale,4
lettres,de,4
il,tourna,4
fond,du,4
comme,au,4
un,coin,4
à,suivre,4
que,tous,4
aller,chercher,4
bouteille,de,4
en,mettant,4
bois,qui,4
il,dit,4
mme,meaulnes,4
pu,vous,4
nous,les,4
sa,casquette,4
instant,pour,4
neuf,heures,4
à,attendre,4
en,moi,4
je,t,4
meaulnes,au,4
sa,grande,4
il,continua,4
la,côte,4
instant,et,4
la,soirée,4
de,voitures,4
il,hésita,4
au,coin,4
toute,sa,4
ou,d,4
est,vrai,4
en,aller,4
pointe,des,4
souliers,ferrés,4
les,roseaux,4
visage,de,4
vent,et,4
ni,de,4
là,pour,4
fenêtres,du,4
meaulnes,me,4
mais,oui,4
petite,table,4
chemin,il,4
la,ville,4
galais,était,4
du,père,4
grande,cour,4
avait,ouvert,4
galais,s,4
devant,un,4
l,avais,4
de,soleil,4
lui,faire,4
fille,elle,4
bois,pour,4
la,sente,4
cela,se,4
des,autres,4
de,bourges,4
se,fût,4
voilà,le,4
les,portes,4
les,bancs,4
la,face,4
cheveux,blonds,4
il,cherchait,4
de,linge,4
fin,des,4
plus,d,4
les,dernières,4
est,fini,4
préparer,le,4
à,jasmin,4
ouvrit,la,4
je,passe,4
quart,d,4
pendant,le,4
chambre,où,4
cette,aventure,4
chercher,le,4
était,dans,4
derrière,les,4
petit,bois,4
petit,jour,4
coin,de,4
ganache,qui,4
comme,sur,4
as,pas,4
jamais,rien,4
elle,eut,4
comme,en,4
à,courir,4
fille,nous,4
il,semblait,4
le,sang,4
est,l,4
une,troupe,4
qu,elles,4
un,soir,4
garçon,de,4
je,pensais,4
